iter	Passed	Remaining
0	165	165634
1	167	83611
2	169	56373
3	171	42684
4	173	34494
5	175	29122
6	177	25195
7	179	22304
8	181	19992
9	183	18166
10	188	16915
11	191	15726
12	192	14634
13	194	13714
14	196	12918
15	198	12208
16	202	11690
17	204	11163
18	206	10651
19	208	10211
20	209	9789
21	211	9402
22	213	9048
23	217	8858
24	219	8576
25	221	8309
26	223	8056
27	225	7816
28	226	7598
29	230	7466
30	232	7278
31	235	7108
32	236	6936
33	238	6775
34	240	6622
35	241	6479
36	246	6425
37	248	6300
38	250	6178
39	252	6053
40	253	5935
41	255	5826
42	258	5745
43	260	5656
44	262	5564
45	263	5472
46	265	5381
47	266	5292
48	269	5239
49	274	5219
50	276	5142
51	278	5069
52	279	4994
53	280	4922
54	282	4851
55	283	4781
56	284	4712
57	286	4653
58	288	4599
59	290	4545
60	291	4487
61	292	4431
62	294	4377
63	295	4325
64	297	4277
65	298	4229
66	300	4187
67	302	4146
68	304	4106
69	306	4065
70	307	4024
71	309	3984
72	310	3948
73	312	3911
74	314	3884
75	318	3870
76	321	3852
77	323	3822
78	325	3795
79	327	3762
80	328	3732
81	332	3723
82	334	3696
83	336	3668
84	337	3637
85	339	3611
86	342	3589
87	343	3564
88	345	3539
89	348	3519
90	350	3497
91	354	3496
92	356	3480
93	359	3463
94	361	3445
95	364	3432
96	366	3412
97	368	3393
98	370	3371
99	372	3352
100	374	3337
101	377	3324
102	379	3303
103	381	3285
104	382	3263
105	384	3242
106	386	3222
107	393	3249
108	395	3231
109	397	3214
110	400	3209
111	405	3215
112	407	3198
113	409	3181
114	411	3164
115	413	3147
116	414	3128
117	416	3110
118	418	3094
119	419	3079
120	422	3066
121	423	3047
122	425	3030
123	426	3015
124	428	3002
125	430	2987
126	433	2979
127	435	2965
128	437	2956
129	439	2944
130	441	2931
131	443	2918
132	445	2906
133	449	2905
134	452	2897
135	454	2884
136	456	2878
137	458	2866
138	461	2861
139	463	2849
140	465	2836
141	467	2821
142	468	2808
143	470	2795
144	472	2785
145	474	2775
146	476	2766
147	478	2757
148	481	2747
149	483	2737
150	485	2727
151	487	2717
152	490	2713
153	492	2703
154	493	2692
155	495	2681
156	497	2671
157	499	2660
158	501	2650
159	503	2645
160	505	2633
161	507	2626
162	509	2615
163	511	2605
164	512	2595
165	514	2584
166	516	2574
167	519	2572
168	521	2565
169	523	2557
170	526	2551
171	528	2542
172	529	2532
173	532	2526
174	535	2522
175	537	2515
176	539	2506
177	540	2497
178	542	2489
179	544	2481
180	547	2478
181	549	2471
182	552	2465
183	553	2456
184	555	2447
185	557	2438
186	558	2430
187	560	2422
188	562	2415
189	565	2408
190	566	2399
191	568	2391
192	569	2382
193	571	2374
194	572	2365
195	579	2377
196	581	2368
197	582	2359
198	584	2351
199	585	2342
200	587	2334
201	588	2326
202	590	2320
203	593	2316
204	595	2309
205	597	2301
206	598	2292
207	600	2284
208	601	2277
209	603	2270
210	617	2309
211	619	2302
212	623	2303
213	625	2297
214	627	2289
215	628	2281
216	630	2274
217	631	2266
218	633	2259
219	634	2251
220	637	2245
221	638	2238
222	640	2231
223	642	2225
224	644	2218
225	645	2211
226	647	2204
227	648	2197
228	652	2198
229	654	2191
230	656	2183
231	657	2176
232	659	2169
233	660	2161
234	661	2154
235	663	2146
236	664	2139
237	666	2134
238	668	2128
239	670	2123
240	672	2117
241	673	2111
242	675	2104
243	676	2097
244	678	2090
245	684	2097
246	685	2089
247	687	2083
248	688	2075
249	689	2068
250	690	2060
251	691	2053
252	692	2046
253	694	2039
